file.index,sample.no,date.time,bin_11.5,bin_15.4,bin_20.5,bin_27.4,bin_36.5,bin_48.7,bin_64.9,bin_86.6,bin_115.5,bin_154,bin_205.4,bin_273.8,bin_365.2,total.conc.num.cm3,median.nm,mean.nm,geo.mean.nm,mode.nm,gsd,particle.density.g.cc,location,period,day
5,4,2/28/17 16:13,1461.3931,2188.9275,1959.3907,3047.168,3333.0205,3133.7646,2981.5212,3021.8376,2507.3691,1278.3665,0,0,0,24912.7589,44.7224,55.806,43.5304,36.5174,2.0692,1.2,below,peak,1
5,5,2/28/17 16:14,1385.3195,2205.4944,1858.1,2856.718,3310.6804,3187.6848,2844.9832,2544.0371,1953.2549,995.836,25.938,0,0,23168.0462,42.5032,53.1664,41.723,36.5174,2.0386,1.2,below,peak,1
5,6,2/28/17 16:15,1051.6312,2006.38,2087.6523,3006.0447,3277.7112,3159.6819,3016.3711,2923.2292,2328.1597,1163.0216,0,0,0,24019.8829,45.2179,55.7353,44.067,36.5174,2.0226,1.2,below,peak,1
5,7,2/28/17 16:16,1181.2726,2089.051,1976.5892,2985.1523,3249.6843,3047.0283,2839.5908,2797.1797,2300.6768,1202.0939,3.7437,0,0,23672.0626,44.2593,55.4823,43.5171,36.5174,2.0457,1.2,below,peak,1
5,8,2/28/17 16:17,1042.256,1885.459,1909.3395,2923.4265,3212.9124,3086.8826,2958.2751,2925.5867,2341.8569,1115.6941,0,0,0,23401.6887,45.9559,56.2214,44.5462,36.5174,2.0201,1.2,below,peak,1
5,9,2/28/17 16:18,1009.2703,1767.1844,1869.7383,2905.4114,3227.6692,2938.3936,2468.6106,2107.915,1540.6959,697.1982,0,0,0,20532.087,40.9126,50.9402,40.7737,36.5174,1.9662,1.2,below,peak,1
5,10,2/28/17 16:19,899.0083,1713.5768,1789.4971,2670.1482,2987.3469,2896.4377,2699.7937,2511.6035,1915.8412,889.9014,0,0,0,20973.1548,44.702,54.7303,43.6243,36.5174,1.9954,1.2,below,peak,1
5,11,2/28/17 16:20,952.003,1776.1831,1745.4805,2698.9519,3135.4084,3007.6721,2593.5674,2154.8633,1495.0112,632.2075,0,0,0,20191.3484,41.8854,51.214,41.206,36.5174,1.9568,1.2,below,peak,1
5,12,2/28/17 16:21,956.0385,1670.7689,1707.6595,2726.1409,3060.9021,2798.0977,2348.5417,2010.8356,1469.3954,668.3331,0,0,0,19416.7134,41.1687,51.181,40.9746,36.5174,1.9671,1.2,below,peak,1
5,13,2/28/17 16:22,940.9321,1673.9054,1783.7911,2827.0342,3034.0149,2694.9702,2330.8787,2198.4275,1777.4723,900.067,0,0,0,20161.4933,41.9786,53.4842,42.3515,36.5174,2.0033,1.2,below,peak,1
5,14,2/28/17 16:23,838.1584,1534.3256,1638.3295,2688.4119,2992.7151,2686.8259,2210.2456,1883.5249,1361.3971,584.1574,0,0,0,18418.0913,40.8876,50.7381,40.8686,36.5174,1.9457,1.2,below,peak,1
5,15,2/28/17 16:24,766.6904,1516.3428,1702.5459,2655.5857,2952.8093,2703.1023,2277.2605,1936.9059,1404.1104,630.3062,0,0,0,18545.6593,41.4481,51.4495,41.4475,36.5174,1.9462,1.2,below,peak,1
5,16,2/28/17 16:25,817.9929,1612.5024,1693.0226,2553.041,2926.946,2767.6257,2340.228,1899.5697,1328.4364,607.5688,0,0,0,18546.9336,41.4055,50.9005,40.993,36.5174,1.9484,1.2,below,peak,1
5,17,2/28/17 16:26,845.2922,1549.4479,1595.2506,2559.9104,2871.0579,2652.3196,2289.3425,2039.0288,1556.6317,754.2774,0,0,0,18712.559,42.367,52.9929,42.306,36.5174,1.9803,1.2,below,peak,1
5,18,2/28/17 16:27,805.5877,1457.3906,1586.4586,2639.8496,3032.9768,2810.6819,2347.2288,1953.8068,1385.837,603.2615,0,0,0,18623.0793,41.8667,51.484,41.6562,36.5174,1.9362,1.2,below,peak,1
5,19,2/28/17 16:28,951.0403,1772.3671,1822.3488,2782.137,3037.8718,2715.6934,2256.304,1962.1176,1518.7378,789.1518,24.4871,0,0,19632.2565,40.6791,51.6207,40.902,36.5174,1.9917,1.2,below,peak,1
5,20,2/28/17 16:29,890.0286,1726.066,1767.3232,2698.4856,2982.5559,2716.7998,2274.811,1929.0648,1373.871,575.1682,0,0,0,18934.1742,40.4728,50.1874,40.2814,36.5174,1.956,1.2,below,peak,1
5,21,2/28/17 16:30,908.0276,1479.8641,1474.8983,2524.1116,2888.9954,2625.2449,2157.0183,1826.442,1355.2472,642.4427,0,0,0,17882.2922,41.3723,51.4303,41.2069,36.5174,1.9654,1.2,below,peak,1
5,22,2/28/17 16:31,709.6223,1354.2531,1538.3815,2597.675,2936.0303,2661.9673,2188.8245,1842.2284,1340.4457,604.5287,0,0,0,17773.9567,41.7034,51.6584,41.8215,36.5174,1.931,1.2,below,peak,1
5,23,2/28/17 16:32,788.5132,1578.14,1660.9816,2529.2029,2933.8955,2807.0068,2376.3674,1887.0122,1217.864,446.9435,0,0,0,18225.9272,41.235,49.8079,40.5208,36.5174,1.9196,1.2,below,peak,1
5,24,2/28/17 16:33,782.461,1579.4596,1627.5112,2460.3167,2855.4404,2718.2756,2269.3364,1768.7081,1140.2682,432.2131,0,0,0,17633.9904,40.7852,49.3117,40.079,36.5174,1.9203,1.2,below,peak,1
5,25,2/28/17 16:34,726.9329,1382.9354,1523.855,2510.4612,2872.0039,2652.6719,2194.8955,1794.5975,1220.4226,478.7873,0,0,0,17357.5632,41.3552,50.4901,41.0713,36.5174,1.918,1.2,below,peak,1
5,26,2/28/17 16:35,771.4971,1449.5983,1599.2264,2635.6057,3014.5781,2741.3499,2194.6643,1732.528,1192.8378,522.3818,0,0,0,17854.2673,40.6863,49.8796,40.5141,36.5174,1.9176,1.2,below,peak,1
5,27,2/28/17 16:36,756.8553,1380.9999,1539.9751,2644.5989,2945.5,2592.9661,2067.5115,1736.9619,1270.8876,565.9129,0,0,0,17502.1691,40.7372,50.6487,40.9437,36.5174,1.9315,1.2,below,peak,1
5,28,2/28/17 16:37,708.402,1321.1465,1549.3578,2528.4712,2926.6709,2729.5977,2251.6462,1784.9884,1196.5946,488.5788,0,0,0,17485.4541,41.5464,50.5328,41.243,36.5174,1.9072,1.2,below,peak,1
5,29,2/28/17 16:38,706.9641,1270.1881,1397.766,2500.2776,3038.7217,2892.6541,2345.4636,1762.7418,1067.3517,330.8151,0,0,0,17312.9438,41.7043,49.4359,40.9296,36.5174,1.868,1.2,below,peak,1
5,30,2/28/17 16:39,732.1128,1207.0778,1250.6379,2378.2795,3012.0293,2915.3848,2332.6414,1671.6115,960.5582,282.4494,0,0,0,16742.7824,41.8686,49.0041,40.779,36.5174,1.8554,1.2,below,peak,1
5,31,2/28/17 16:40,635.6411,1215.2748,1409.1987,2435.7795,3003.0215,2915.4094,2380.2705,1734.2598,1020.5864,325.5636,0,0,0,17075.0053,42.0343,49.5502,41.1923,36.5174,1.8551,1.2,below,peak,1
6,1,3/2/17 12:55,890.881,1410.7968,1505.8441,2923.1516,3835.6211,4074.6531,3819.8203,3301.3057,2283.1255,922.0965,0,0,0,24967.2957,49.2939,56.9166,46.8591,48.6968,1.9081,1.2,,,2
6,2,3/2/17 12:56,556.237,1153.1761,1512.7295,2920.5,3626.8401,3731.6423,3519.3289,3193.3965,2329.2068,993.301,0,0,0,23536.3582,50.2183,58.4794,48.3804,48.6968,1.8863,1.2,above,off peak,2
6,3,3/2/17 12:57,471.5741,1098.6141,1578.6021,2834.5383,3524.5618,3619.8962,3315.7097,2815.5417,1924.1366,770.4803,0,0,0,21953.655,48.3736,56.3625,46.8919,48.6968,1.8613,1.2,above,off peak,2
6,4,3/2/17 12:58,485.4313,1113.3341,1476.4171,2661.7024,3351.7734,3462.4397,3153.7874,2640.6023,1778.5879,699.5569,0,0,0,20823.6325,48.0375,55.8763,46.451,48.6968,1.8647,1.2,above,off peak,2
6,5,3/2/17 12:59,510.9733,1092.9015,1391.3374,2618.2151,3266.6428,3312.3694,2984.136,2534.5032,1736.2456,689.61,0,0,0,20136.9343,47.7054,55.7954,46.2655,48.6968,1.8726,1.2,above,off peak,2
6,6,3/2/17 13:00,979.5488,1931.8146,2272.7952,4322.6172,5750.6074,5806.4492,4641.2666,2985.2871,1284.2372,0,0,0,0,29974.6233,42.1066,46.942,40.43,48.6968,1.7552,1.2,above,off peak,2
6,7,3/2/17 13:01,1098.6947,1652.9155,1991.2906,4565.8594,5910.5977,5568.1138,4165.8599,2729.1819,1378.4432,231.2326,0,0,0,29292.1892,41.5735,47.5452,40.6278,36.5174,1.7714,1.2,above,off peak,2
6,8,3/2/17 13:02,1231.5319,1546.856,1617.1683,3016.2891,4005.7402,4145.3442,3606.9932,2726.7131,1596.8214,454.1275,0,0,0,23947.5849,44.5138,51.2235,42.3761,48.6968,1.8879,1.2,above,off peak,2
6,9,3/2/17 13:03,1050.4926,1704.4503,1894.1185,3730.7371,5373.6533,5843.4907,5000.1411,3354.2834,1489.2609,20.7432,0,0,0,29461.3711,44.9835,49.2363,42.3358,48.6968,1.7705,1.2,above,off peak,2
6,10,3/2/17 13:04,669.5375,1316.4606,1609.4083,2915.4111,3715.1482,3823.4375,3407.1396,2742.2483,1748.8281,596.3843,0,0,0,22544.0036,46.4948,53.9061,44.8393,48.6968,1.8637,1.2,above,off peak,2
